collection,name,description,image_url,owner,twitter_username,contracts
weedly-1,WEEDLY,,,0xccb92205dd26923ec2d2197d3d1c7ac3ebe0f974,,"[{'address': '0x126bf599ff347f6da049fb7a557510d163bc079e', 'chain': 'ethereum'}]"
pipe-cat-3-1,Pipe Cat #3,,,0xa84767f86d4f2940d76d8042ffaa28dc314a61b8,,"[{'address': '0x21d6f02b3ca6965f0fbf87773a7ed89f921fe678', 'chain': 'ethereum'}]"
pipe-cat-3,Pipe Cat #3,,,0xa84767f86d4f2940d76d8042ffaa28dc314a61b8,,"[{'address': '0xd266bddda26771fb43bb3d0bd037fe2aa527ec2d', 'chain': 'ethereum'}]"
pipe-cat-2,Pipe Cat #2,A cat with a pipe,https://i.seadn.io/s/raw/files/0b611a6f90a819b74e8a6b9070cb088b.webp?w=500&auto=format,0xa84767f86d4f2940d76d8042ffaa28dc314a61b8,,"[{'address': '0x396e4f25b3b22eff03df0e04c42a93509dae0926', 'chain': 'ethereum'}]"
lunzero,lunzero,"gggggggggggggggggggggggggg

Made with [NFTs2Me.com](https://nfts2me.com/)",https://i.seadn.io/s/raw/files/6ca6fa7673efc3b4e1a7249cc962408b.jpg?w=500&auto=format,0x0afb44b04da3984769b700ad4c4bf99915fff119,,"[{'address': '0x97874a92f5648a1b5e9daace9477a67dba85eee5', 'chain': 'ethereum'}]"
pipe-cat-1,Pipe Cat #1,A cat with a pipe,https://i.seadn.io/s/raw/files/fb9a90c825005fd2d15cf47e38c17f25.webp?w=500&auto=format,0xa84767f86d4f2940d76d8042ffaa28dc314a61b8,,"[{'address': '0x3db1efc437974dba5296c6e8d9a141f7cd20eefd', 'chain': 'ethereum'}]"
organahumana,OrganaHumana,,,0xbc9d1a5a556cf7da69931c6062b77fbae54de592,,"[{'address': '0x7e582b3f7b7f9e697f4dd23890d1e2c21fb44a3a', 'chain': 'ethereum'}]"
meerkat-rhythms,Meerkat Rhythms,"Introducing ""Meerkat Rhythms,"" an electrifying NFT collection that merges the playful charm of meerkats with the dynamic energy of the rap scene, enhanced by a modern and stylish twist. Each NFT in this exclusive collection features a meerkat rapper character styled with vibrant clothing, accessories, and urban backdrops, all rendered in stunning detail and incorporating the latest in digital art trends.
",https://i.seadn.io/s/raw/files/4436af3ae84b345f9e0ded1ae4bb3427.png?w=500&auto=format,0x561a40a888f7e114d6ccdc9a9faa5f8f6c2dddde,,"[{'address': '0xb1a96d3424fb97462fbb688447795d2926ec3316', 'chain': 'ethereum'}]"
tacumah-1,Tacumah,,https://i.seadn.io/s/raw/files/8a752902a0b63669f7158897a6b520d2.jpg?w=500&auto=format,0x6b1fc75d29e259ac6f7b4b058cf2b3839afefab3,,"[{'address': '0xab54ac68b85afa7510c946a3bdd308e96df0de49', 'chain': 'ethereum'}]"
d-u-c-k-4,D.U.C.K,,,0x6d64604be630199ba68a76739b52c88240e48562,,"[{'address': '0xcfa2e84f2ee1a59c6162edb560f093257903d2a3', 'chain': 'ethereum'}]"
d-u-c-k-3,D.U.C.K,,,0x6d64604be630199ba68a76739b52c88240e48562,,"[{'address': '0xf1af10566eeb6abdc6e6be5d3962642fd0360fee', 'chain': 'ethereum'}]"
tacumah,Tacumah,,,0x6b1fc75d29e259ac6f7b4b058cf2b3839afefab3,,"[{'address': '0x88cb3fe67c36aa9c78678a4bc25b29c35dcf251c', 'chain': 'ethereum'}]"
insights-9,Insights,Pieces created from everyday insight that portray feelings of the moment.,https://i.seadn.io/s/raw/files/1da6d041761197dd52267629ae765684.jpg?w=500&auto=format,0xb507e285a1b36779d9de5cd3ae5a04ebe1e8e67a,,"[{'address': '0x0f0600da803017a27e9c823319448457ae88417e', 'chain': 'ethereum'}]"
zu-xian-sosen,祖先 Sosen,,,0x28508cc91581aafc0b65e30cb2b356456eede54c,,"[{'address': '0x94f86e894c0e9be2ea5a035e20f472369bb08922', 'chain': 'ethereum'}]"
